Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Honey Trap — Extrait De Parfum,honey-trap,"<p>Indulge in Honey Trap, the golden gourmand elixir by Scents 'N Stories Haute Parfumerie. An intoxicating, sensual symphony of decadent raw golden wild honey, velvety cocoa truffle, delicate orange blossom, and warm Ceylon cinnamon bark. Macerated for 90 days with 35% pure perfume oils imported directly from Grasse, France for 12+ hours sillage.</p><p><strong>Olfactory Pyramid:</strong><br/>• Top: Bitter Orange Blossom, Candied Ginger, Glazed Golden Wild Honey<br/>• Heart: Dark Chocolate Truffle, Ceylon Cinnamon Quill, Roasted Tonka Bean<br/>• Base: Warm Amber Resin, Bourbon Vanilla Pod, Aged Patchouli & Sandalwood</p>",Scents 'N Stories,Health & Beauty > Personal Care > Cosmetics > Perfumes & Fragrances,Extrait de Parfum,"Bestseller, Extrait, Gourmand, Honey, Unisex, Flagship, 35% Concentration, 12h Sillage",TRUE,active,SNS-HT-50,,Presentation,50ml EDP,,,,,,,,2450,,,TRUE,,,,,,shopify,100,CONTINUE,280,g,TRUE,manual,https://lh3.googleusercontent.com/aida-public/AB6AXuCYapaf1GXJUtrfPx2QOZHfNYaPSVhf38bD8toHMqtN7akXWYrdemQ-d-9U5b0Pemapq_yIEL1LI8aI1LjT2qCULxoGlwU4K9e0sSfiSKcpW31UQ0PJpc2oaqndxLUPZ9dqoJZJVlPH2nrxqQRE_Qmrht_AaBuyGa-7u_DlkWVqIOeb9e3sX6Sp5uJW2afLRAm2DTYG3Nm0OoNTIMeLcz4I2rGMVQp4J8iAmIToor1VaW3jFq8aRVKdIkcgPr4rv8q8858,1,Honey Trap — Extrait De Parfum by Scents 'N Stories,https://lh3.googleusercontent.com/aida-public/AB6AXuCYapaf1GXJUtrfPx2QOZHfNYaPSVhf38bD8toHMqtN7akXWYrdemQ-d-9U5b0Pemapq_yIEL1LI8aI1LjT2qCULxoGlwU4K9e0sSfiSKcpW31UQ0PJpc2oaqndxLUPZ9dqoJZJVlPH2nrxqQRE_Qmrht_AaBuyGa-7u_DlkWVqIOeb9e3sX6Sp5uJW2afLRAm2DTYG3Nm0OoNTIMeLcz4I2rGMVQp4J8iAmIToor1VaW3jFq8aRVKdIkcgPr4rv8q8858,,Honey Trap — Extrait De Parfum | Scents 'N Stories Haute Parfumerie,Discover Honey Trap — Extrait De Parfum with up to 35% pure French perfume oils and 12+ hours lasting sillage.,,,Unisex,Adult,,,,new,,,,,,
Honey Trap — Extrait De Parfum,honey-trap,,,,,,TRUE,active,SNS-HT-100,,Presentation,100ml Flacon,,,,,,,,3950,4650,,TRUE,,,,,,shopify,100,CONTINUE,450,g,TRUE,manual,https://lh3.googleusercontent.com/aida-public/AB6AXuAH2xpaxVreku72Hu1SBlcRsGzYjJBnJ4k7uYqOdyLzi5Rr34NVMYB4w89c1CbqV9w-ho0GQZeODiuZqazD2UTXa9u2gFtkEeLiHSdZa8Xj3so_EgjsmZ1SQ_vJz18DoJz8ivolyw7Hi6t2cGiyCEhmKtTQUlRbv5Qpd2L4gboQkzzMKrRCKzr011kcxkIERZ2DOCkPglTrELHGuMQ3Z67d0WJmkm8AD9PYOeN_GwnRYVW39QsLtHR_Zh3apz7JdPIudew,2,Honey Trap — Extrait De Parfum - 100ml Flacon,https://lh3.googleusercontent.com/aida-public/AB6AXuAH2xpaxVreku72Hu1SBlcRsGzYjJBnJ4k7uYqOdyLzi5Rr34NVMYB4w89c1CbqV9w-ho0GQZeODiuZqazD2UTXa9u2gFtkEeLiHSdZa8Xj3so_EgjsmZ1SQ_vJz18DoJz8ivolyw7Hi6t2cGiyCEhmKtTQUlRbv5Qpd2L4gboQkzzMKrRCKzr011kcxkIERZ2DOCkPglTrELHGuMQ3Z67d0WJmkm8AD9PYOeN_GwnRYVW39QsLtHR_Zh3apz7JdPIudew,,,,,,,,,,,,,,,,,
Honey Trap — Extrait De Parfum,honey-trap,,,,,,TRUE,active,SNS-HT-10,,Presentation,10ml Pocket,,,,,,,,850,,,TRUE,,,,,,shopify,100,CONTINUE,90,g,TRUE,manual,https://lh3.googleusercontent.com/aida-public/AB6AXuDUpHpmddYhhoFppXue_9AEqBMKLegRN4jRVscKsx_xa0m8RTt2aHqaOxs2TMD4t1UQg2n8u9V859bhVou3rtigiNEoIbTFXUSVOUOcrTBx28pBRAnLZgSGzDgJK5knK2yVodqY9VQ3Yu9SDlcCQGO6Ub7w1iBY1bF_WnSWyEd1muI8jtHnyBh5V4X6e-GIqHaXxO-RDhOcak2nkqa7JhygOsZ88im4Sd6Nz_1ILw_26gzXmmx9BSdQfZtMlfJw1mtpAFY,3,Honey Trap — Extrait De Parfum - 10ml Pocket,https://lh3.googleusercontent.com/aida-public/AB6AXuDUpHpmddYhhoFppXue_9AEqBMKLegRN4jRVscKsx_xa0m8RTt2aHqaOxs2TMD4t1UQg2n8u9V859bhVou3rtigiNEoIbTFXUSVOUOcrTBx28pBRAnLZgSGzDgJK5knK2yVodqY9VQ3Yu9SDlcCQGO6Ub7w1iBY1bF_WnSWyEd1muI8jtHnyBh5V4X6e-GIqHaXxO-RDhOcak2nkqa7JhygOsZ88im4Sd6Nz_1ILw_26gzXmmx9BSdQfZtMlfJw1mtpAFY,,,,,,,,,,,,,,,,,
Catch 22 Extrait De Parfum,catch-22,"<p>Catch 22 is an invigorating, modern aromatic masterpiece. Featuring sparkling Italian bergamot, juicy smoked pineapple, birch wood, and Ambroxan, this scent commands charisma and confidence.</p><p><strong>Olfactory Profile:</strong> Crisp Bergamot, Pineapple, Birch Smoke, Oakmoss, Ambroxan.</p>",Scents 'N Stories,Health & Beauty > Personal Care > Cosmetics > Perfumes & Fragrances,Extrait de Parfum,"Aromatic, Citrus, Fresh, Birch, Pineapple, Unisex",TRUE,active,SNS-C22-50,,Presentation,50ml Flacon,,,,,,,,1750,,,TRUE,,,,,,shopify,100,CONTINUE,280,g,TRUE,manual,https://lh3.googleusercontent.com/aida-public/AB6AXuB0TmmAjSZ_1dkQaMCu53hxgIKpljKXS-Z1-Q2b4VGVV7WUg65UMktB0RrBNKKHcOfgwDu8-jvUfO_p4hKdtOD9u8o85ykBrM8Zw2ySfFKsFf5UDDs19yqJoEvSergR7jcAKDFEK4Qsier6oNZGMDpWUNVALEMcHWd0AFOzOJw8AJWVjwpBrdd3Oo3w7XeHqniW3WUZog1240n44r8l4LvPadnDja_2ZdI9oDUJwkKtEYBir9gDb5NELQ,1,Catch 22 Extrait De Parfum by Scents 'N Stories,https://lh3.googleusercontent.com/aida-public/AB6AXuB0TmmAjSZ_1dkQaMCu53hxgIKpljKXS-Z1-Q2b4VGVV7WUg65UMktB0RrBNKKHcOfgwDu8-jvUfO_p4hKdtOD9u8o85ykBrM8Zw2ySfFKsFf5UDDs19yqJoEvSergR7jcAKDFEK4Qsier6oNZGMDpWUNVALEMcHWd0AFOzOJw8AJWVjwpBrdd3Oo3w7XeHqniW3WUZog1240n44r8l4LvPadnDja_2ZdI9oDUJwkKtEYBir9gDb5NELQ,,Catch 22 Extrait De Parfum | Scents 'N Stories Haute Parfumerie,Discover Catch 22 Extrait De Parfum with up to 35% pure French perfume oils and 12+ hours lasting sillage.,,,Unisex,Adult,,,,new,,,,,,
Catch 22 Extrait De Parfum,catch-22,,,,,,TRUE,active,SNS-C22-100,,Presentation,100ml Flacon,,,,,,,,2950,,,TRUE,,,,,,shopify,100,CONTINUE,450,g,TRUE,manual,,,,https://lh3.googleusercontent.com/aida-public/AB6AXuB0TmmAjSZ_1dkQaMCu53hxgIKpljKXS-Z1-Q2b4VGVV7WUg65UMktB0RrBNKKHcOfgwDu8-jvUfO_p4hKdtOD9u8o85ykBrM8Zw2ySfFKsFf5UDDs19yqJoEvSergR7jcAKDFEK4Qsier6oNZGMDpWUNVALEMcHWd0AFOzOJw8AJWVjwpBrdd3Oo3w7XeHqniW3WUZog1240n44r8l4LvPadnDja_2ZdI9oDUJwkKtEYBir9gDb5NELQ,,,,,,,,,,,,,,,,,
Smoky Knight Amber,smoky-knight-amber,"<p>Tuscan Leather, Cardamom, Frankincense, and Cambodian Agarwood. Dark, opulent, and dangerously alluring. Tailored for late evenings and unforgettable presence.</p>",Scents 'N Stories,Health & Beauty > Personal Care > Cosmetics > Perfumes & Fragrances,Extrait de Parfum,"Amber, Woody, Leather, Oudh, Nightwear, Men",TRUE,active,SNS-SKA-50,,Presentation,50ml Flacon,,,,,,,,1950,,,TRUE,,,,,,shopify,100,CONTINUE,280,g,TRUE,manual,https://lh3.googleusercontent.com/aida-public/AB6AXuDG-Sq63FRjKlvZmCnd8BvK9k8YB_8Ev_GuVpnbQOwqg-q3qprF167lK9nsrvmVuaWVgpZFpi1oGUQT3yoe26_Jj2rY-wxAQJfgrtVimx8pZAFKYqWVQ3_rSChqXYOb-2yIQ0I6PNV7UJ7FW1SaHv0BmQ9M-ZzqhlnhvD2_osQmbB1FPq2KPWw3J_2EYYkRMVyp-xvXk8iJkNSL2-lehz9BXCvfFadVzDFwvNcPCe6oqBj_sLZTfsW_KA,1,Smoky Knight Amber by Scents 'N Stories,https://lh3.googleusercontent.com/aida-public/AB6AXuDG-Sq63FRjKlvZmCnd8BvK9k8YB_8Ev_GuVpnbQOwqg-q3qprF167lK9nsrvmVuaWVgpZFpi1oGUQT3yoe26_Jj2rY-wxAQJfgrtVimx8pZAFKYqWVQ3_rSChqXYOb-2yIQ0I6PNV7UJ7FW1SaHv0BmQ9M-ZzqhlnhvD2_osQmbB1FPq2KPWw3J_2EYYkRMVyp-xvXk8iJkNSL2-lehz9BXCvfFadVzDFwvNcPCe6oqBj_sLZTfsW_KA,,Smoky Knight Amber | Scents 'N Stories Haute Parfumerie,Discover Smoky Knight Amber with up to 35% pure French perfume oils and 12+ hours lasting sillage.,,,Unisex,Adult,,,,new,,,,,,
Smoky Knight Amber,smoky-knight-amber,,,,,,TRUE,active,SNS-SKA-100,,Presentation,100ml Flacon,,,,,,,,3250,,,TRUE,,,,,,shopify,100,CONTINUE,450,g,TRUE,manual,,,,https://lh3.googleusercontent.com/aida-public/AB6AXuDG-Sq63FRjKlvZmCnd8BvK9k8YB_8Ev_GuVpnbQOwqg-q3qprF167lK9nsrvmVuaWVgpZFpi1oGUQT3yoe26_Jj2rY-wxAQJfgrtVimx8pZAFKYqWVQ3_rSChqXYOb-2yIQ0I6PNV7UJ7FW1SaHv0BmQ9M-ZzqhlnhvD2_osQmbB1FPq2KPWw3J_2EYYkRMVyp-xvXk8iJkNSL2-lehz9BXCvfFadVzDFwvNcPCe6oqBj_sLZTfsW_KA,,,,,,,,,,,,,,,,,
Fleur de Nuit Extrait,fleur-de-nuit,"<p>Jasmine Sambac, White Gardenia, Creamy Mysore Sandalwood & Cashmere musk. Pure sophisticated opulence that lingers with intoxicating floral grace.</p>",Scents 'N Stories,Health & Beauty > Personal Care > Cosmetics > Perfumes & Fragrances,Extrait de Parfum,"Floral, White Floral, Jasmine, Sandalwood, Women",TRUE,active,SNS-FDN-50,,Presentation,50ml Flacon,,,,,,,,1650,,,TRUE,,,,,,shopify,100,CONTINUE,280,g,TRUE,manual,https://lh3.googleusercontent.com/aida-public/AB6AXuB9WtMtMm6ykLxQFOWnaTjHLtLuJX2r21IYMeRA8YblT6-2999aXI1m80XkuE780nw-Lh5SUreLrnPX2mI-QcuEEfuz2nB8UMPdRbJguhbvUG4rkFB9tGDibeLtQTJlbQMQPD_4JKtASf6kAdc_U5QkGNplFrRWceD6iHkHWjDQkqzaYrTFLRKYeWKtAoq8C_MCD8WKbeGr5g6U7FR3d85drVZQn58y5G7thESUKn4ub3TmFq09PJD27Q,1,Fleur de Nuit Extrait by Scents 'N Stories,https://lh3.googleusercontent.com/aida-public/AB6AXuB9WtMtMm6ykLxQFOWnaTjHLtLuJX2r21IYMeRA8YblT6-2999aXI1m80XkuE780nw-Lh5SUreLrnPX2mI-QcuEEfuz2nB8UMPdRbJguhbvUG4rkFB9tGDibeLtQTJlbQMQPD_4JKtASf6kAdc_U5QkGNplFrRWceD6iHkHWjDQkqzaYrTFLRKYeWKtAoq8C_MCD8WKbeGr5g6U7FR3d85drVZQn58y5G7thESUKn4ub3TmFq09PJD27Q,,Fleur de Nuit Extrait | Scents 'N Stories Haute Parfumerie,Discover Fleur de Nuit Extrait with up to 35% pure French perfume oils and 12+ hours lasting sillage.,,,Unisex,Adult,,,,new,,,,,,
Fleur de Nuit Extrait,fleur-de-nuit,,,,,,TRUE,active,SNS-FDN-100,,Presentation,100ml Flacon,,,,,,,,2800,,,TRUE,,,,,,shopify,100,CONTINUE,450,g,TRUE,manual,,,,https://lh3.googleusercontent.com/aida-public/AB6AXuB9WtMtMm6ykLxQFOWnaTjHLtLuJX2r21IYMeRA8YblT6-2999aXI1m80XkuE780nw-Lh5SUreLrnPX2mI-QcuEEfuz2nB8UMPdRbJguhbvUG4rkFB9tGDibeLtQTJlbQMQPD_4JKtASf6kAdc_U5QkGNplFrRWceD6iHkHWjDQkqzaYrTFLRKYeWKtAoq8C_MCD8WKbeGr5g6U7FR3d85drVZQn58y5G7thESUKn4ub3TmFq09PJD27Q,,,,,,,,,,,,,,,,,
Velvet Vanilla Oud,velvet-vanilla-oud,"<p>Madagascar Bourbon vanilla fused with smoky Cambodian agarwood, praline, and roasted tonka bean. An ultra-rich woody gourmand that commands reverence.</p>",Scents 'N Stories,Health & Beauty > Personal Care > Cosmetics > Perfumes & Fragrances,Extrait de Parfum,"Woody, Vanilla, Oud, Tonka, Extrait, Unisex",TRUE,active,SNS-VVO-50,,Presentation,50ml,,,,,,,,2650,,,TRUE,,,,,,shopify,100,CONTINUE,280,g,TRUE,manual,https://lh3.googleusercontent.com/aida-public/AB6AXuAerXbQM64nwjqSr6ePeCGukr8gma0Z8k9EcrlfoFKahod_ugHNr4bZUhFiiJTT72u8I3A5-BkHZy-tsP_Z_vimlNT7B2wASTE-PhVjGdQR_bVDOqfAse3pSone_ETufQyR7Y1wt-eJBLZnaRtfPb3PVZV7E_DNqw88Et-hDUNq_R37EVk7G6kTrkaXscMkFhMCpNVBuKmXtWKdJOQ1HIAchQeB-eF7-_qx0elhw6AMUkr5tUmJz0npFg,1,Velvet Vanilla Oud by Scents 'N Stories,https://lh3.googleusercontent.com/aida-public/AB6AXuAerXbQM64nwjqSr6ePeCGukr8gma0Z8k9EcrlfoFKahod_ugHNr4bZUhFiiJTT72u8I3A5-BkHZy-tsP_Z_vimlNT7B2wASTE-PhVjGdQR_bVDOqfAse3pSone_ETufQyR7Y1wt-eJBLZnaRtfPb3PVZV7E_DNqw88Et-hDUNq_R37EVk7G6kTrkaXscMkFhMCpNVBuKmXtWKdJOQ1HIAchQeB-eF7-_qx0elhw6AMUkr5tUmJz0npFg,,Velvet Vanilla Oud | Scents 'N Stories Haute Parfumerie,Discover Velvet Vanilla Oud with up to 35% pure French perfume oils and 12+ hours lasting sillage.,,,Unisex,Adult,,,,new,,,,,,
