Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Honey Trap — Extrait De Parfum,honey-trap,"<p>An intoxicating, sensual symphony of decadent raw golden honey, velvety cocoa truffle, delicate orange blossom, and warm Ceylon cinnamon. Handcrafted using rarest French perfume oils for unmatched 12+ hours sillage. 35% oil concentration aged in oak casks for 90 days.</p><h3>Olfactory Notes:</h3><ul><li><strong>Top Notes:</strong> Bitter Orange Blossom, Candied Ginger, Glazed Golden Honey</li><li><strong>Heart Notes:</strong> Dark Chocolate Truffle, Ceylon Cinnamon Quill, Roasted Tonka Bean</li><li><strong>Base Notes:</strong> Warm Amber Resin, Bourbon Vanilla Pod, Aged Patchouli & Sandalwood</li></ul>",Scents 'N Stories,Health & Beauty > Personal Care > Cosmetics > Perfumes & Fragrances,Extrait De Parfum,"Bestseller, Flagship, Gourmand, Warm Spicy, Amber, Honey, Orange Blossom, Extrait, Unisex, 12h Sillage",true,active,SNS-HT-50ML,8901001001,Volume / Presentation,50ml Signature Flacon,,,,,,,,2450.00,,,true,,,,,,shopify,50,continue,250,g,true,manual,https://lh3.googleusercontent.com/aida-public/AB6AXuCYapaf1GXJUtrfPx2QOZHfNYaPSVhf38bD8toHMqtN7akXWYrdemQ-d-9U5b0Pemapq_yIEL1LI8aI1LjT2qCULxoGlwU4K9e0sSfiSKcpW31UQ0PJpc2oaqndxLUPZ9dqoJZJVlPH2nrxqQRE_Qmrht_AaBuyGa-7u_DlkWVqIOeb9e3sX6Sp5uJW2afLRAm2DTYG3Nm0OoNTIMeLcz4I2rGMVQp4J8iAmIToor1VaW3jFq8aRVKdIkcgPr4rv8q8858,1,Honey Trap — Extrait De Parfum - View 1,https://lh3.googleusercontent.com/aida-public/AB6AXuCYapaf1GXJUtrfPx2QOZHfNYaPSVhf38bD8toHMqtN7akXWYrdemQ-d-9U5b0Pemapq_yIEL1LI8aI1LjT2qCULxoGlwU4K9e0sSfiSKcpW31UQ0PJpc2oaqndxLUPZ9dqoJZJVlPH2nrxqQRE_Qmrht_AaBuyGa-7u_DlkWVqIOeb9e3sX6Sp5uJW2afLRAm2DTYG3Nm0OoNTIMeLcz4I2rGMVQp4J8iAmIToor1VaW3jFq8aRVKdIkcgPr4rv8q8858,false,Honey Trap - Extrait De Parfum | Scents 'N Stories Luxury Fragrance,"Indulge in Honey Trap by Scents 'N Stories. Artisanal Extrait De Parfum with raw wild honey, orange blossom, spiced truffle, and bourbon vanilla. 12+ hours sillage.",,,,,,,,,,,,,,
Honey Trap — Extrait De Parfum,honey-trap,,,,,,true,active,SNS-HT-100ML,8901001002,Volume / Presentation,100ml Grand Flacon,,,,,,,,3950.00,4650.00,,true,,,,,,shopify,50,continue,450,g,true,manual,https://lh3.googleusercontent.com/aida-public/AB6AXuAH2xpaxVreku72Hu1SBlcRsGzYjJBnJ4k7uYqOdyLzi5Rr34NVMYB4w89c1CbqV9w-ho0GQZeODiuZqazD2UTXa9u2gFtkEeLiHSdZa8Xj3so_EgjsmZ1SQ_vJz18DoJz8ivolyw7Hi6t2cGiyCEhmKtTQUlRbv5Qpd2L4gboQkzzMKrRCKzr011kcxkIERZ2DOCkPglTrELHGuMQ3Z67d0WJmkm8AD9PYOeN_GwnRYVW39QsLtHR_Zh3apz7JdPIudew,2,Honey Trap — Extrait De Parfum - View 2,https://lh3.googleusercontent.com/aida-public/AB6AXuAH2xpaxVreku72Hu1SBlcRsGzYjJBnJ4k7uYqOdyLzi5Rr34NVMYB4w89c1CbqV9w-ho0GQZeODiuZqazD2UTXa9u2gFtkEeLiHSdZa8Xj3so_EgjsmZ1SQ_vJz18DoJz8ivolyw7Hi6t2cGiyCEhmKtTQUlRbv5Qpd2L4gboQkzzMKrRCKzr011kcxkIERZ2DOCkPglTrELHGuMQ3Z67d0WJmkm8AD9PYOeN_GwnRYVW39QsLtHR_Zh3apz7JdPIudew,false,,,,,,,,,,,,,,,,
Honey Trap — Extrait De Parfum,honey-trap,,,,,,true,active,SNS-HT-10ML,8901001003,Volume / Presentation,10ml Travel Pocket Atomizer,,,,,,,,850.00,,,true,,,,,,shopify,50,continue,60,g,true,manual,https://lh3.googleusercontent.com/aida-public/AB6AXuCFbjeLEsSMrk90Nxs3degWda54RyyjHUj6aYb8FIpZli2h1oqWobfxgrZOwLpQAfBwKq_VEJvW5h5tokGoNuwsNh1d8kdLsxvRCr3Zftgpt1IoScxQYrCjl7SY282nqrIKmOq4-Pf7ja93ZfJTIIw9cWnzzpcbX_yla7hLIYxGi67zAdljfsZG_81g2b8paOr-5CRL6EESCXnEA7KpZ0uYqYcjVSnJO76crBOgCgxxsLqeOtrkB3tO1CO2gUloNSTQqZg,3,Honey Trap — Extrait De Parfum - View 3,https://lh3.googleusercontent.com/aida-public/AB6AXuCFbjeLEsSMrk90Nxs3degWda54RyyjHUj6aYb8FIpZli2h1oqWobfxgrZOwLpQAfBwKq_VEJvW5h5tokGoNuwsNh1d8kdLsxvRCr3Zftgpt1IoScxQYrCjl7SY282nqrIKmOq4-Pf7ja93ZfJTIIw9cWnzzpcbX_yla7hLIYxGi67zAdljfsZG_81g2b8paOr-5CRL6EESCXnEA7KpZ0uYqYcjVSnJO76crBOgCgxxsLqeOtrkB3tO1CO2gUloNSTQqZg,false,,,,,,,,,,,,,,,,
Honey Trap — Extrait De Parfum,honey-trap,,,,,,true,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://lh3.googleusercontent.com/aida-public/AB6AXuDUpHpmddYhhoFppXue_9AEqBMKLegRN4jRVscKsx_xa0m8RTt2aHqaOxs2TMD4t1UQg2n8u9V859bhVou3rtigiNEoIbTFXUSVOUOcrTBx28pBRAnLZgSGzDgJK5knK2yVodqY9VQ3Yu9SDlcCQGO6Ub7w1iBY1bF_WnSWyEd1muI8jtHnyBh5V4X6e-GIqHaXxO-RDhOcak2nkqa7JhygOsZ88im4Sd6Nz_1ILw_26gzXmmx9BSdQfZtMlfJw1mtpAFY,4,Honey Trap — Extrait De Parfum - View 4,,false,,,,,,,,,,,,,,,,
Catch 22 — Extrait De Parfum,catch-22,"<p>Crisp Calabrian Bergamot, Juicy Golden Pineapple, Birch Smoke, and Ambroxan. Modern, magnetic, and effortlessly charismatic for both day and night allure.</p><ul><li><strong>Top Notes:</strong> Bergamot, Pineapple, Apple</li><li><strong>Heart Notes:</strong> Birch, Patchouli, Jasmine</li><li><strong>Base Notes:</strong> Musk, Oakmoss, Ambergris</li></ul>",Scents 'N Stories,Health & Beauty > Personal Care > Cosmetics > Perfumes & Fragrances,Extrait De Parfum,"Citrus Fresh, Woody, Aromatic, Pineapple, Birch, Ambroxan, Unisex, Day & Night",true,active,SNS-C22-50ML,8901002001,Volume / Presentation,50ml Flacon,,,,,,,,1750.00,,,true,,,,,,shopify,50,continue,250,g,true,manual,https://lh3.googleusercontent.com/aida-public/AB6AXuB0TmmAjSZ_1dkQaMCu53hxgIKpljKXS-Z1-Q2b4VGVV7WUg65UMktB0RrBNKKHcOfgwDu8-jvUfO_p4hKdtOD9u8o85ykBrM8Zw2ySfFKsFf5UDDs19yqJoEvSergR7jcAKDFEK4Qsier6oNZGMDpWUNVALEMcHWd0AFOzOJw8AJWVjwpBrdd3Oo3w7XeHqniW3WUZog1240n44r8l4LvPadnDja_2ZdI9oDUJwkKtEYBir9gDb5NELQ,1,Catch 22 — Extrait De Parfum - View 1,https://lh3.googleusercontent.com/aida-public/AB6AXuB0TmmAjSZ_1dkQaMCu53hxgIKpljKXS-Z1-Q2b4VGVV7WUg65UMktB0RrBNKKHcOfgwDu8-jvUfO_p4hKdtOD9u8o85ykBrM8Zw2ySfFKsFf5UDDs19yqJoEvSergR7jcAKDFEK4Qsier6oNZGMDpWUNVALEMcHWd0AFOzOJw8AJWVjwpBrdd3Oo3w7XeHqniW3WUZog1240n44r8l4LvPadnDja_2ZdI9oDUJwkKtEYBir9gDb5NELQ,false,Catch 22 Extrait De Parfum | Scents 'N Stories,"Experience Catch 22 by Scents 'N Stories. Crisp Bergamot, Pineapple, Birch Smoke, and Ambroxan. 12+ hours sillage.",,,,,,,,,,,,,,
Catch 22 — Extrait De Parfum,catch-22,,,,,,true,active,SNS-C22-100ML,8901002002,Volume / Presentation,100ml Grand Flacon,,,,,,,,2950.00,3400.00,,true,,,,,,shopify,50,continue,450,g,true,manual,,,,,false,,,,,,,,,,,,,,,,
Smoky Knight Amber — Extrait De Parfum,smoky-knight-amber,"<p>Tuscan Leather, Cardamom, Incense, and Cambodian Agarwood. Dark, opulent, and dangerously alluring. Formulated with 35% pure fragrance oil concentration for an unmistakable masculine and unisex aura.</p>",Scents 'N Stories,Health & Beauty > Personal Care > Cosmetics > Perfumes & Fragrances,Extrait De Parfum,"Woody Oud, Warm Spices, Amber, Leather, Oudh, Nightwear, For Him, Unisex",true,active,SNS-SKA-50ML,8901003001,Volume / Presentation,50ml Flacon,,,,,,,,1950.00,,,true,,,,,,shopify,50,continue,250,g,true,manual,https://lh3.googleusercontent.com/aida-public/AB6AXuDG-Sq63FRjKlvZmCnd8BvK9k8YB_8Ev_GuVpnbQOwqg-q3qprF167lK9nsrvmVuaWVgpZFpi1oGUQT3yoe26_Jj2rY-wxAQJfgrtVimx8pZAFKYqWVQ3_rSChqXYOb-2yIQ0I6PNV7UJ7FW1SaHv0BmQ9M-ZzqhlnhvD2_osQmbB1FPq2KPWw3J_2EYYkRMVyp-xvXk8iJkNSL2-lehz9BXCvfFadVzDFwvNcPCe6oqBj_sLZTfsW_KA,1,Smoky Knight Amber — Extrait De Parfum - View 1,https://lh3.googleusercontent.com/aida-public/AB6AXuDG-Sq63FRjKlvZmCnd8BvK9k8YB_8Ev_GuVpnbQOwqg-q3qprF167lK9nsrvmVuaWVgpZFpi1oGUQT3yoe26_Jj2rY-wxAQJfgrtVimx8pZAFKYqWVQ3_rSChqXYOb-2yIQ0I6PNV7UJ7FW1SaHv0BmQ9M-ZzqhlnhvD2_osQmbB1FPq2KPWw3J_2EYYkRMVyp-xvXk8iJkNSL2-lehz9BXCvfFadVzDFwvNcPCe6oqBj_sLZTfsW_KA,false,Smoky Knight Amber Extrait De Parfum | Scents 'N Stories,"Tuscan Leather, Cardamom, and Cambodian Agarwood. Opulent nighttime luxury perfume by Scents 'N Stories.",,,,,,,,,,,,,,
Smoky Knight Amber — Extrait De Parfum,smoky-knight-amber,,,,,,true,active,SNS-SKA-100ML,8901003002,Volume / Presentation,100ml Grand Flacon,,,,,,,,3250.00,3800.00,,true,,,,,,shopify,50,continue,450,g,true,manual,,,,,false,,,,,,,,,,,,,,,,
Fleur de Nuit — Extrait De Parfum,fleur-de-nuit,"<p>Jasmine Sambac, White Gardenia, Creamy Australian Sandalwood & Cashmere musk. Pure sophisticated opulence that lingers with seductive grace.</p>",Scents 'N Stories,Health & Beauty > Personal Care > Cosmetics > Perfumes & Fragrances,Extrait De Parfum,"Floral Amber, White Floral, Jasmine, Sandalwood, Musc Blanc, Elegance, For Her, Unisex",true,active,SNS-FDN-50ML,8901004001,Volume / Presentation,50ml Flacon,,,,,,,,1650.00,,,true,,,,,,shopify,50,continue,250,g,true,manual,https://lh3.googleusercontent.com/aida-public/AB6AXuB9WtMtMm6ykLxQFOWnaTjHLtLuJX2r21IYMeRA8YblT6-2999aXI1m80XkuE780nw-Lh5SUreLrnPX2mI-QcuEEfuz2nB8UMPdRbJguhbvUG4rkFB9tGDibeLtQTJlbQMQPD_4JKtASf6kAdc_U5QkGNplFrRWceD6iHkHWjDQkqzaYrTFLRKYeWKtAoq8C_MCD8WKbeGr5g6U7FR3d85drVZQn58y5G7thESUKn4ub3TmFq09PJD27Q,1,Fleur de Nuit — Extrait De Parfum - View 1,https://lh3.googleusercontent.com/aida-public/AB6AXuB9WtMtMm6ykLxQFOWnaTjHLtLuJX2r21IYMeRA8YblT6-2999aXI1m80XkuE780nw-Lh5SUreLrnPX2mI-QcuEEfuz2nB8UMPdRbJguhbvUG4rkFB9tGDibeLtQTJlbQMQPD_4JKtASf6kAdc_U5QkGNplFrRWceD6iHkHWjDQkqzaYrTFLRKYeWKtAoq8C_MCD8WKbeGr5g6U7FR3d85drVZQn58y5G7thESUKn4ub3TmFq09PJD27Q,false,Fleur de Nuit Extrait De Parfum | Scents 'N Stories,"Jasmine Sambac, White Gardenia, and Creamy Sandalwood. Sophisticated floral opulence by Scents 'N Stories.",,,,,,,,,,,,,,
Fleur de Nuit — Extrait De Parfum,fleur-de-nuit,,,,,,true,active,SNS-FDN-100ML,8901004002,Volume / Presentation,100ml Grand Flacon,,,,,,,,2800.00,3200.00,,true,,,,,,shopify,50,continue,450,g,true,manual,,,,,false,,,,,,,,,,,,,,,,
